Time (s),Channel 1 (V),Channel 2 (V)
-0.00258048,0.009254043771236172,-0.003587468993404955
-0.00257985,0.007234914435808582,-0.004938185287269193
-0.00257922,0.00858100065942667,-0.004262827140337381
-0.00257859,0.008581000659427129,-0.004938185287269347
-0.00257796,0.009590565327140924,-0.003925148066871168
-0.00257733,0.009254043771236172,-0.003587468993404955
-0.0025767,0.009590565327140772,-0.003587468993404955
-0.00257607,0.007234914435807664,-0.002574431773006317
-0.00257544,0.004206220432664901,-0.003925148066871168
-0.00257481,0.003869698876760302,-0.002574431773006931
-0.00257418,0.002523612653141144,-0.003587468993404955
-0.00257355,0.002523612653139919,-0.001899073626074351
-0.00257292,-0.0001685597940968678,-0.00291211084647253
-0.00257229,-0.0001685597940968678,-0.003925148066871168
-0.00257166,-0.001178124461810204,-0.005275864360735559
-0.00257103,0.0008410048736173865,-0.004262827140337381
-0.0025704,0.001850569541331641,-0.003249789919938742
-0.00256977,0.0001679617618086488,-0.003249789919938742
-0.00256914,0.001177526429522138,-0.004262827140337381
-0.00256851,0.002187091097236698,-0.003925148066870554
-0.00256788,0.002860134209045895,-0.002574431773006317
-0.00256725,0.001177526429522138,-0.0005483573322090393
-0.00256662,-0.00420681846495312,-0.003587468993404802
-0.00256599,-0.002524210685430128,-0.003249789919938742
-0.00256536,0.001514047985426889,-0.003249789919938742
-0.00256473,0.002187091097236086,-0.003249789919938742
-0.0025641,0.001850569541331641,-0.002236752699540104
-0.00256347,0.0005044833177124821,-0.002574431773006163
-0.00256284,0.0001679617618078836,-0.002236752699540104
-0.00256221,-0.002860732241334879,-0.001561394552607678
-0.00256158,-0.004879861576764,-0.001223715479142386
-0.00256095,-0.006225947800382394,-0.003249789919938742
-0.00256032,-0.004879861576763388,-0.00291211084647253
-0.00255969,-0.002860732241335797,-0.00257443177300647
-0.00255906,-0.003870296909049133,-0.001561394552607678
-0.00255843,-0.005216383132668139,-0.002236752699540104
-0.0025578,-0.005216383132668139,-0.002574431773006317
-0.00255717,-0.002524210685430128,-0.002236752699540104
-0.00255654,-0.002860732241335491,-0.002912110846472222
-0.00255591,-0.004206818464953885,-0.002236752699540104
-0.00255528,-0.003197253797239631,-0.001223715479141465
-0.00255465,-0.004543340020858024,-0.001223715479141465
-0.00255402,-0.006225947800382394,-0.003587468993404955
-0.00255339,-0.002860732241334879,-0.001899073626073891
-0.00255276,-0.003197253797239631,-0.001223715479141465
-0.00255213,-0.006898990912191896,-0.002236752699540104
-0.0025515,-0.005552904688571361,-0.003925148066870401
-0.00255087,-0.002187689129525377,-0.002236752699540104
-0.00255024,-0.001851167573620625,-0.001223715479141465
-0.00254961,-0.005552904688571207,-0.003249789919937821
-0.00254898,-0.005889426244477642,-0.002236752699540104
-0.00254835,-0.004543340020858637,-0.001899073626073891
-0.00254772,-0.006225947800381629,0.0001270008147224652
-0.00254709,-0.008245077135810902,-0.001561394552607678
-0.00254646,-0.00925464180352531,-0.002574431773005703
-0.00254583,-0.009591163359429907,-0.001223715479141465
-0.0025452,-0.01127377113895366,-0.001223715479141465
-0.00254457,-0.01093724958304907,-0.001223715479141465
-0.00254394,-0.01060072802714416,-0.001899073626073891
-0.00254331,-0.009254641803525157,-0.003249789919938742
-0.00254268,-0.006898990912192968,-0.0002106782587442085
-0.00254205,-0.01060072802714416,-0.0005483573322090393
-0.00254142,-0.01396594358619214,-0.0002106782587422121
-0.00254079,-0.01497550825390593,0.001140038035122025
-0.00254016,-0.01766768070114394,-0.0005483573322090393
-0.00253953,-0.01699463758933475,-0.0008860364056750985
-0.0025389,-0.01261985736257267,-0.0008860364056752522
-0.00253827,-0.01194681425076317,-0.001561394552607678
-0.00253764,-0.01060072802714477,-0.002912110846471915
-0.00253701,-0.008581598691715653,-0.001899073626073891
-0.00253638,-0.008581598691716878,-0.0005483573322087322
-0.00253575,-0.01127377113895366,0.0001270008147233865
-0.00253512,-0.01396594358619168,-0.001223715479141465
-0.00253449,-0.01396594358619259,-0.0005483573322093465
-0.00253386,-0.01598507292162019,-0.001223715479141465
-0.00253323,-0.01598507292162019,-0.001223715479141465
-0.0025326,-0.01564855136571559,-0.001899073626073584
-0.00253197,-0.01564855136571543,-0.001223715479141465
-0.00253134,-0.0143024651420975,0.0001270008147235401
-0.00253071,-0.01665811603342969,0.0004646798881895994
-0.00253008,-0.01665811603342969,0.001140038035122025
-0.00252945,-0.01935028848066862,0.0001270008147238472
-0.00252882,-0.02136941781609621,0.001140038035122025
-0.00252819,-0.02338854715152472,-0.0002106782587428264
-0.00252756,-0.02406159026333391,-0.0005483573322088858
-0.00252693,-0.02103289626019145,-0.001561394552607678
-0.0025263,-0.0186772453688582,-0.0002106782587428264
-0.00252567,-0.0206963747042867,0.0001270008147233865
-0.00252504,-0.02237898248381046,-0.0008860364056752522
-0.00252441,-0.02103289626019206,-0.0002106782587429799
-0.00252378,-0.02237898248381046,-0.0005483573322090393
-0.00252315,-0.02439811181923897,0.0001270008147233865
-0.00252252,-0.02473463337514357,0.0004646798881894458
-0.00252189,-0.02439811181923897,-0.001223715479141465
-0.00252126,-0.02473463337514372,0.001140038035122025
-0.00252063,-0.02507115493104847,-0.0005483573322090393
-0.00252,-0.02237898248381046,0.001140038035122025
