#Frequency (Hz),Trace 1 (dB),Phase (deg),Trace 2 (dB),Phase (deg)
0,-45.93858606399422,0,-52.02592901352035,180
2.44140625,-44.91828319084121,164.0898078783207,-52.38851811971473,179.9911533024399
4.8828125,-44.6198788391002,148.723407172974,-55.93287161412358,0.6232123052607231
7.32421875,-45.60806544506698,137.5775910037267,-66.27463613933682,2.370475260469806
9.765625,-46.90244379538537,140.1455310427411,-90.34899506464828,22.12247089466522
12.20703125,-49.45804865264353,143.8721949960467,-93.87673561840315,148.5004826764639
14.6484375,-55.88925671039491,146.7015482867295,-97.71043049343767,166.39416667812
17.08984375,-70.25273855681021,4.94088823344803,-92.18926868225782,8.113757457231502
19.53125,-69.44656436620149,139.4936257814101,-87.47249471107664,166.7765500959396
21.97265625,-66.41613777215424,151.0491534234857,-86.49305628575127,138.0671178830821
24.4140625,-75.12375959131904,32.95566581220139,-84.66991063891038,111.951370066976
26.85546875,-60.80236356396333,5.816475779478229,-83.59832195448593,94.57203195895423
29.296875,-56.60132173754836,19.41248848767325,-83.658947546067,74.49183368203575
31.73828125,-55.80900081094974,12.94303878664846,-84.23006800567562,61.25045871889806
34.1796875,-56.78009134415733,172.3466872787242,-85.7218940147865,50.68999438170277
36.62109375,-57.53580208606516,153.0082450874478,-85.50585337027226,41.32610114970574
39.0625,-58.1623618893311,134.691339749737,-83.78492278217726,34.23460981652323
41.50390625,-60.9678960526179,123.1642789188208,-81.90404208945098,26.13170289401366
43.9453125,-71.63356196874906,5.53911674680864,-81.20654300666173,26.18484271358887
46.38671875,-58.85370004993592,78.43687484952591,-82.21689427488309,33.39813691057895
48.828125,-54.56249592247097,83.60112371425467,-85.25802211204174,44.63881600252078
51.26953125,-54.03666893994999,82.49454971472652,-90.33275235297035,87.4452252886193
53.7109375,-55.82357031270435,82.55281316052169,-90.98451663186233,122.4499607737509
56.15234375,-60.34486551822287,107.0606632973476,-96.72440709087937,70.75489506065578
58.59375,-62.26497113413676,162.9106924645751,-91.45836116732249,17.01492769678982
61.03515625,-59.93893100084131,9.432850524928062,-89.6941793560346,13.95179353366332
63.4765625,-57.64170685673215,16.44849371107988,-92.50055375243559,11.26397359491664
65.91796875,-59.26852206014067,33.3836371159137,-106.2203411861872,140.6704690353038
68.359375,-61.68536985299802,67.26215210456046,-91.49818350591582,179.3172279354155
70.80078125,-60.35124043566314,77.07560053025531,-91.68692417950047,23.02851368998571
73.2421875,-57.82981956335437,87.17014603111522,-95.79271368496092,88.56433278524068
75.68359375,-58.23654460768608,91.13004986071169,-89.51904307882005,166.5884667715227
78.125,-61.52030066540468,70.68589670910194,-85.28614249501068,1.861576242101974
80.56640625,-60.50771101040155,57.55212748644347,-84.39869746914789,9.12481842477114
83.0078125,-58.66286239691556,51.20717724672914,-82.65930388395127,25.18332451390079
85.44921875,-57.80416484518756,30.58054635634788,-80.36164366282689,33.41483093009382
87.890625,-58.61839509709667,21.85729184283925,-79.61889616534187,30.74820859471241
90.33203125,-63.44645987272995,14.85926853667191,-79.48069059592571,19.59751803757176
92.7734375,-67.42865124167795,121.1836898680597,-79.12606348169984,10.11336528758482
95.21484375,-61.12319804793881,78.402897681738,-80.40552923700747,6.261643790564423
97.65625,-57.46021075977116,67.77530685332387,-83.2376432614964,176.5110817060498
100.09765625,-55.6946159984532,58.48722652556798,-85.75953771205369,171.6634072610979
102.5390625,-54.99635436773356,45.72731218319552,-90.23380606381997,18.00495234657518
104.98046875,-54.97108014104726,35.68564845177994,-92.50751407176111,82.99201148835851
107.421875,-55.25296954125554,23.49098141229809,-88.00365376028577,118.7886076565115
109.86328125,-55.61087444326831,12.8288819903819,-83.86775989258821,120.8321842353911
112.3046875,-57.42485678257042,11.7105709217758,-81.59405223990383,118.3236831403095
114.74609375,-60.06910231393966,19.63983350921683,-81.0970428990434,117.531272437645
117.1875,-61.33898196392344,26.25608340932607,-82.14271132863162,108.4104182089255
119.62890625,-63.95285756101968,5.140509619264747,-84.56842327130687,88.6633283913346
122.0703125,-63.14706360164543,123.5732396435563,-86.76982417007162,53.77952597328204
124.51171875,-59.49622507226168,95.54589617669025,-85.32094284559651,39.27957369624518
126.953125,-57.9460954020246,81.40591793925721,-85.16564266560486,51.87635234274581
129.39453125,-58.97450054921445,66.43799435830756,-86.46123479857023,52.72261524616303
131.8359375,-61.09341974639064,31.56028215677327,-88.48111034774055,31.63943220847746
134.27734375,-60.79939285875344,175.0948035308105,-90.83337202171762,167.5495039471318
136.71875,-61.55474485218591,139.456602888588,-88.07904589768215,125.0553795122469
139.16015625,-61.94774147824511,120.1992792496925,-86.82920934392189,114.6353279032544
141.6015625,-64.39044618661778,128.365768877512,-90.9187365047639,108.1324625985756
144.04296875,-67.32914078969243,121.7751211940641,-107.8114642029974,155.8471605216172
146.484375,-67.40728789831134,115.9779483523023,-92.49841420940704,90.25727787400952
148.92578125,-66.5711653905183,132.398306700024,-91.08460099094053,55.95531239553864
151.3671875,-67.67949452945193,124.6832007318449,-92.47755450427533,31.78605548864503
153.80859375,-66.513883520169,65.50865579355285,-96.55463653239028,39.95446977354805
156.25,-61.42112525284303,36.60166658126427,-109.6367788551994,28.08881356482692
158.69140625,-58.4649680868414,26.09998610422265,-96.99143322018516,68.05146621641525
161.1328125,-55.8530072350521,21.16292660005652,-91.73423699877677,53.86171666798325
163.57421875,-55.18842223321664,23.67401583605905,-88.55037212411801,49.5212645256958
166.015625,-57.73685133194631,33.58191132294943,-87.13970893648877,35.26139756359583
168.45703125,-62.23709189051548,36.36276797816259,-85.90323626878691,172.944277240084
170.8984375,-68.30690388252761,24.26665798339717,-82.89737224030007,152.0793392936626
173.33984375,-81.36252615408856,17.66010476490558,-83.32112411190906,151.447765551455
175.78125,-70.26113515415614,31.69251352246588,-87.16002583340902,143.1885639843284
178.22265625,-69.41286789401984,61.56051392835575,-92.4452980939499,132.6160895992417
180.6640625,-67.9053625065158,53.19319640473847,-101.9388082113456,111.935238172104
183.10546875,-70.17434201404838,24.51173530358007,-93.74928597718848,42.50750305685691
185.546875,-89.18927385207553,94.85509306456251,-88.82113792398673,65.09546672594092
187.98828125,-68.47687416957838,165.6592546777539,-85.40728788180718,89.48516859540614
190.4296875,-64.22465136279331,166.7688363484517,-84.00130614566967,98.95853473445408
192.87109375,-61.9387593221225,156.5963119288937,-85.37289937847119,115.3464647609656
195.3125,-60.20388104952595,139.2980808110098,-85.08222816277019,142.6130418062992
197.75390625,-60.18430668317015,130.0100187601581,-83.90423366341587,159.675271888246
200.1953125,-61.74335271778442,128.8714844461128,-84.40746429851949,6.873584859633462
202.63671875,-63.79831101988326,132.5069818078903,-84.79111058860516,31.19515081070619
205.078125,-66.97779200197795,144.6646905057712,-87.45325296040258,30.88779878509137
207.51953125,-69.33034039339714,170.5393873192396,-91.22988478374707,38.0011461810882
209.9609375,-67.50184113794306,30.14794009837591,-94.03936359656268,64.24894713942342
212.40234375,-65.29861323041303,57.37043073329122,-105.046983584827,179.5181755564114
214.84375,-64.66738263147643,72.61987303258819,-99.1217664558765,61.44719301629529
217.28515625,-64.47803383538201,71.34363067572309,-88.52029675425776,6.799199251478772
219.7265625,-66.14081566124754,66.11145516532478,-83.87753283862247,5.152940873033668
222.16796875,-71.7302697772066,76.95233253538177,-82.26407001019686,175.5917334760866
224.609375,-70.93727093563673,172.8493488055086,-81.47766278294874,161.4322274671243
227.05078125,-62.75396500923721,1.507401224755505,-83.89093122672607,148.811278368532
229.4921875,-59.79735856395656,1.004496557240463,-93.44305419734928,106.7026522461262
231.93359375,-59.71965045303931,8.446314193061099,-89.82961231019493,145.1932545377142
234.375,-63.00057992658684,13.03905173477677,-83.43254995598861,120.2004324953283
236.81640625,-73.08063986504361,36.78904089066553,-81.89686351183997,117.8364590745301
239.2578125,-69.73656651667714,163.401334993311,-83.28682610217456,111.2238180581267
241.69921875,-67.21276712327368,17.24055257861388,-90.92277158592509,83.94442926075716
244.140625,-76.71311467171546,98.86681574519807,-91.11610291130349,141.0224493759816
246.58203125,-67.26420131825765,169.0580865000036,-84.92727328017742,142.9425625489282
249.0234375,-62.8454149139224,160.6717696458755,-81.50594966482636,157.3370878834787
251.46484375,-59.32378207701716,152.8959611516117,-81.01391407763651,164.6486266775988
253.90625,-57.80699379769045,135.8944266437994,-84.11964753022355,169.4222753449113
256.34765625,-57.85620583445584,122.0009614607203,-91.90771059093603,171.3185039057523
258.7890625,-60.207961822939,126.2862282896323,-96.67954860101615,157.3830684326617
261.23046875,-62.96123084121275,138.9302139614869,-87.11619147485551,168.9961657921172
263.671875,-66.82279149568505,152.5778546839856,-86.65228543896477,170.8681198021164
266.11328125,-69.45941999459934,33.3386425612202,-87.83026726395377,149.5269994041448
268.5546875,-71.81684625303798,53.38223805908776,-86.68162104510296,131.541981066304
270.99609375,-75.8665136637412,73.91900444243858,-86.86364542034633,122.4169041631122
273.4375,-69.9181628307567,68.77664185578988,-88.02377491904089,118.3673740783229
275.87890625,-70.14866668887305,58.7480589492417,-90.85964419359136,147.9452802166093
278.3203125,-65.95572011870755,43.43650425913036,-89.02612482111184,35.92311679397618
280.76171875,-61.23348794241682,49.76118005131275,-85.15432455249673,55.25042066291012
283.203125,-58.50107719889518,56.41607962275322,-85.43458015170214,51.45822377742973
285.64453125,-56.95450263763195,54.86754179573676,-87.28200908892131,39.00447631469818
288.0859375,-55.69991002652124,56.47087131891705,-88.16329361944901,20.12259172817759
290.52734375,-55.94917422776863,66.84156657504472,-88.23949104721873,4.436573755019245
292.96875,-58.39341329847667,74.91270407872655,-87.65454098890407,9.234794668876907
295.41015625,-62.62368081016035,87.14081226914364,-87.43398597807315,26.16495979403211
297.8515625,-63.35748024010007,120.2675820907954,-90.33049656816624,41.25576627061139
300.29296875,-63.68068499245557,132.4099493426997,-102.1780524501783,51.63677387494623
302.734375,-67.19764168056093,141.9187033562517,-101.509308063017,29.51499162192486
305.17578125,-68.8761028134065,137.9587447259109,-94.74766956155072,25.24830768873319
307.6171875,-70.13028317701195,77.35226666927007,-94.69736190792629,53.05944906188718
310.05859375,-67.84521585810245,28.61821553189507,-97.08339512363304,123.8711329810523
312.5,-73.36398825783129,173.0406121526777,-95.60462881103076,157.3211871564186
314.94140625,-67.14503965297897,106.6052190878774,-90.23956270340513,160.5147027191107
317.3828125,-61.4279480991454,91.07183427273934,-86.36283105711335,167.4878425173284
319.82421875,-59.40096724289581,68.2905300643297,-87.83181319130641,167.9811114929853
322.265625,-58.97019993861909,52.6850922608973,-90.15473216756982,169.7854118039974
324.70703125,-59.56407049674154,36.90912625255209,-91.91733744276237,3.307476010126674
327.1484375,-58.84907912620658,21.71864519316639,-94.06934022769023,37.74734021660142
329.58984375,-56.86775322161508,18.70471149862745,-91.86765650208075,43.89470715995045
332.03125,-55.03755263137066,24.20748940381074,-92.79210591316065,23.99818318859392
334.47265625,-54.86477459672403,30.75889572524095,-108.1911936406739,78.02469132130011
336.9140625,-56.75240846126344,30.12850104673791,-92.80062229750308,10.86890881671392
339.35546875,-61.59589620759714,30.57987556851143,-90.41247157371586,45.12041434819154
341.796875,-70.37519924458533,67.0773552020441,-89.98713155737791,63.08095991298135
344.23828125,-70.59832693190947,125.6353902447045,-90.27628898048673,70.52255328574523
346.6796875,-68.06481265414047,113.2152048208681,-89.51189563669693,83.74699331617639
349.12109375,-65.06479714585106,70.34323880582303,-88.03203932412359,61.06112901567992
351.5625,-64.19238902871039,48.83869804933196,-85.03471325486358,26.99649381480345
354.00390625,-68.81127691869204,31.38467215184098,-83.57153214101685,18.55536378501678
356.4453125,-68.12348441472457,140.7080494921346,-84.20411517718088,25.734636056792
358.88671875,-63.65118666664327,117.3042915073381,-86.32557780453769,34.08083544502357
361.328125,-61.7710828249084,126.3827500756161,-87.48548125223458,54.94652711368458
363.76953125,-58.53955020285527,141.7109863076456,-86.61427453994301,72.0296450954672
366.2109375,-58.00366049517044,146.0531781114289,-90.19793087048448,65.74118162784815
368.65234375,-61.33833062682368,152.4129793900575,-94.03316171579526,15.33619260274947
371.09375,-68.37555804680352,154.8647107840249,-92.61345810696267,169.0484439730645
373.53515625,-80.39384227911938,103.6682930163039,-93.17630262615327,157.9146859600114
375.9765625,-77.89644983487796,36.17025446337009,-91.07634157757539,164.9555887601548
378.41796875,-69.63622967491293,44.42884716044441,-90.18477688788349,162.7915274602709
380.859375,-63.94249102139428,57.60693621158503,-92.44133633434848,153.1518914260093
383.30078125,-61.02197680265205,58.73120282867121,-92.41197429311472,163.43403619812
385.7421875,-60.5325147939432,47.96822966358019,-88.93502712661169,170.5680005040279
388.18359375,-63.68896086913708,48.26438321811789,-86.23756358953395,172.4684150200217
390.625,-68.48246227223761,91.31969062544027,-85.98137640871998,178.4542499925265
393.06640625,-67.2376299750041,146.3974942103287,-86.53922956340098,0.445984437839719
395.5078125,-67.56250728566198,163.5146031238165,-87.31511335715106,167.9310607178528
397.94921875,-72.32892800970694,87.71442079462535,-89.34333734663414,149.4564484881493
400.390625,-64.26505500894636,42.11243295843784,-90.03150084231018,139.8876944078401
402.83203125,-60.71408325967977,39.0622239045868,-88.51362658634061,151.578279064698
405.2734375,-58.0299681915748,44.51589633850881,-87.54212156532463,165.5651857191702
407.71484375,-57.67281315874914,47.31062550497974,-89.28902253960345,168.2241391895872
410.15625,-58.94764469043743,48.63504286723979,-93.04193320590586,179.0225120126883
412.59765625,-59.9106837139422,46.31541845557661,-91.37034126106357,40.53186353947513
415.0390625,-60.18515289704283,22.16443305649975,-89.99021463091823,51.90792434975322
417.48046875,-58.88526048466007,178.0994875671734,-90.58664709559491,51.06911413606239
419.921875,-59.37863008563649,160.090721265651,-86.38359183424581,54.41476609148302
422.36328125,-59.42086916730138,132.0173126555755,-84.56761336055033,64.33606634206899
424.8046875,-58.39570403059079,114.6004606361716,-85.23104481922624,86.51661243521538
427.24609375,-59.73850548835689,104.9763734746381,-84.95980769891113,99.40104410009667
429.6875,-62.80063013692193,96.51361537983466,-87.46615795761033,106.7151668053582
432.12890625,-65.25916796598095,120.5688217130531,-93.87358824240073,134.8191292519107
434.5703125,-65.40877462461432,163.2034206295386,-101.9403296090859,24.98891689457955
437.01171875,-67.23565259377493,9.157327059975115,-98.04362981589249,100.9309979819953
439.453125,-68.95924121309005,21.44849143028154,-103.8283256686012,85.76360139766932
441.89453125,-70.35849618553775,1.153584542356406,-93.64234834473274,151.82007051304
444.3359375,-67.83277241872683,143.3528007742185,-88.12271009015383,154.1113274706639
446.77734375,-65.08853724619001,148.4101862183287,-85.50305675105706,167.4029037925266
449.21875,-62.69591610447294,155.2086694457368,-82.1996547382542,176.9631064021741
451.66015625,-61.11779830532706,148.0110947310631,-81.94724867704895,178.065111799561
454.1015625,-60.89725497360454,148.9613012271009,-84.79899736665423,172.8672585737208
456.54296875,-60.94570587840047,152.3824412386926,-85.04456769701662,162.0003887030479
458.984375,-60.61579979230327,138.3333582327259,-84.31390466300904,149.2470303133837
461.42578125,-60.30015598273623,130.639699164215,-86.21439638369668,139.5563458302908
463.8671875,-61.9458211429139,132.3453696098528,-89.83396889289378,156.0654396350431
466.30859375,-68.24772400023699,111.8138393440434,-92.38729952152525,6.934909258601561
468.75,-73.06868959765625,5.827720652973282,-99.78047644283782,76.86160071345857
471.19140625,-67.07336951246577,144.3954050264037,-88.95460740617658,144.5112057674
473.6328125,-62.37730609418347,136.8877298742365,-85.58846244755341,151.7727330499844
476.07421875,-59.93212653196422,128.7017033326461,-86.6362294058153,165.9107301081555
478.515625,-60.27515711257305,116.7268801692139,-91.5052145527643,6.573360693319652
480.95703125,-60.63251114934286,109.2868416559708,-104.7496152695376,117.0921640007384
483.3984375,-61.97070222396875,108.600750876358,-89.36204138735654,167.9948955483771
485.83984375,-67.17876059212674,104.4431488267181,-82.92693099898806,169.3293374389973
488.28125,-77.29372227974848,108.2340365208394,-80.99457403556522,174.9011416096662
490.72265625,-73.86555586378587,50.66402396559015,-81.25228846817993,178.6439950764243
493.1640625,-65.93174168100657,59.40487619530447,-80.97856849594974,175.4824220279386
495.60546875,-64.78866949873986,52.09789333702538,-81.08890645204731,172.058869903283
498.046875,-68.18860123672104,47.84840960857041,-82.61779553482802,171.2414399935159
500.48828125,-71.61901811048449,89.65293613609127,-84.84538424241578,166.4362510783077
502.9296875,-67.59666824762247,123.4244377297544,-86.89552204846041,156.7176741434621
505.37109375,-64.534915306926,131.8209217823064,-88.52565134026513,168.9984850779962
507.8125,-62.97050592062465,125.0717111917172,-88.04627363826255,0.9972809825688573
510.25390625,-63.62210719899657,103.5123493684954,-86.94832561770653,1.5729350904675
512.6953125,-65.1378761370092,69.78028246246204,-86.79414556656177,10.65474450248611
515.13671875,-66.06870942033996,22.70671935710982,-90.43811709670771,11.11010668760804
517.578125,-64.80936011412626,171.8892099429595,-101.6135997830085,123.5511508977226
520.01953125,-64.59393862566542,152.9542660118951,-93.46892816342802,35.64386102058727
522.4609375,-62.81971429847783,134.879253795035,-90.23737693602692,24.13503006679971
524.90234375,-62.03977160717504,134.2350874105274,-92.45287895088018,17.5680261305263
527.34375,-61.71206331135933,128.8435704120039,-94.73097373167198,144.1006997640819
529.78515625,-60.70114344908073,112.6055964979551,-90.60308946690363,114.0680888194524
532.2265625,-60.21740669965693,103.8369320751184,-89.78416929984138,95.88182757102891
534.66796875,-59.61932196727126,100.2627387502851,-91.10095616968383,95.58116474304838
